Time,A/F Correction #1 (%),Accelerator Pedal Angle (%),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),IAM (4-byte)* (multiplier),Mass Airflow (g/s),Requested Torque* (raw ecu value),Vehicle Speed (mph),Phidget IK Sensor 267583:0 (AFR),Manifold Absolute Pressure (psi),Manifold Relative Pressure (Corrected) (psi)
13:14:15.763,0.00,18.04,10,0.63,2536,0.00,0.00,1.0000,28.13,216.87,19,14.78,8.42,-5.95
13:14:15.842,0.78,18.43,10,0.66,2594,0.00,0.00,1.0000,29.82,217.24,19,14.73,8.71,-5.51
13:14:15.922,3.12,18.43,8,0.69,2527,0.00,0.00,1.0000,30.14,216.30,19,14.72,9.00,-5.22
13:14:16.002,4.69,18.43,8,0.69,2574,0.00,0.00,1.0000,30.26,219.09,19,15.01,9.29,-5.08
13:14:16.082,4.69,18.43,8,0.69,2646,0.00,0.00,1.0000,30.17,219.75,19,15.19,9.14,-5.22
13:14:16.163,2.34,18.82,8,0.70,2591,0.00,0.00,1.0000,30.73,219.71,19,14.70,9.14,-5.22
13:14:16.242,3.12,18.82,8,0.69,2666,0.00,0.00,1.0000,30.62,222.37,19,14.16,9.14,-5.22
13:14:16.322,2.34,18.82,8,0.69,2683,0.00,0.00,1.0000,31.29,221.79,19,14.14,9.14,-5.22
13:14:16.403,0.78,18.82,8,0.70,2676,0.00,0.00,1.0000,31.41,223.14,20,14.16,9.29,-5.22
13:14:16.499,0.78,19.61,8,0.69,2748,0.00,0.00,1.0000,31.29,228.08,20,13.97,9.14,-5.22
13:14:16.578,0.00,20.00,8,0.69,2740,0.00,0.00,1.0000,32.86,227.63,20,14.12,9.14,-5.08
13:14:16.658,0.00,20.00,8,0.71,2760,0.00,0.00,1.0000,33.20,228.48,20,13.99,9.43,-4.93
13:14:16.738,0.78,20.00,8,0.71,2802,0.00,0.00,1.0000,32.97,228.72,20,14.13,9.43,-4.93
13:14:16.818,-0.78,20.00,8,0.71,2811,0.00,0.00,1.0000,33.01,228.02,21,14.27,9.43,-4.93
13:14:16.903,-1.56,20.00,8,0.71,2862,0.00,0.00,1.0000,33.69,226.79,21,14.09,9.43,-4.93
13:14:16.978,-2.34,20.00,8,0.70,2870,0.00,0.00,1.0000,33.46,226.74,21,14.05,9.43,-4.93
13:14:17.058,-3.91,20.00,8,0.70,2913,0.00,0.00,1.0000,33.46,225.15,21,13.95,9.43,-4.93
13:14:17.138,-5.47,20.00,8,0.68,2934,0.00,0.00,1.0000,32.67,225.22,21,13.96,9.29,-5.08
13:14:17.234,-6.25,20.00,8,0.67,2882,0.00,0.00,1.0000,32.78,224.05,21,13.83,9.29,-5.08
13:14:17.314,-7.81,20.00,8,0.67,2986,0.00,0.00,1.0000,32.45,223.89,22,13.90,9.14,-5.08
13:14:17.394,-8.59,20.00,8,0.66,2981,0.00,0.00,1.0000,32.78,223.45,22,14.00,9.14,-5.22
13:14:17.474,-8.59,20.00,8,0.66,2965,0.00,0.00,1.0000,32.89,222.89,22,13.95,9.14,-5.22
13:14:17.555,-8.59,20.00,8,0.65,3028,0.00,0.00,1.0000,32.36,222.69,22,14.09,9.14,-5.22
13:14:17.634,-8.59,20.00,8,0.65,3061,0.00,0.00,1.0000,33.15,222.58,22,14.22,9.14,-5.22
13:14:17.714,-7.81,20.39,8,0.65,3127,0.00,0.00,1.0000,33.04,222.49,22,14.33,9.00,-5.37
13:14:17.794,-7.81,20.39,8,0.64,3083,0.00,0.00,1.0000,33.26,221.96,23,14.37,9.00,-5.37
13:14:17.873,-7.81,20.78,8,0.64,3123,0.00,0.00,1.0000,33.60,223.64,23,14.33,8.85,-5.51
13:14:17.970,-7.81,20.78,8,0.65,3120,0.00,0.00,1.0000,33.84,222.87,23,14.35,8.85,-5.37
13:14:18.050,-7.03,20.78,8,0.65,3199,0.00,0.00,1.0000,34.21,222.82,23,14.33,9.00,-5.51
13:14:18.130,-7.03,20.78,8,0.65,3190,0.00,0.00,1.0000,34.09,222.07,23,14.38,8.85,-5.37
13:14:18.213,-7.03,20.78,8,0.65,3173,0.00,0.00,1.0000,33.72,222.09,23,14.35,8.85,-5.51
13:14:18.290,-6.25,21.18,8,0.64,3158,0.00,0.00,1.0000,33.96,221.79,24,14.38,8.85,-5.51
13:14:18.370,-6.25,21.18,8,0.65,3183,0.00,0.00,1.0000,34.61,221.94,24,14.37,8.85,-5.66
13:14:18.449,-6.25,21.18,8,0.65,3142,0.00,0.00,1.0000,34.12,223.24,24,14.34,8.85,-5.66
13:14:18.529,-7.03,21.18,8,0.63,3211,0.00,0.00,1.0000,34.48,224.37,24,14.27,8.85,-5.66
13:14:18.626,-6.25,21.57,8,0.64,3218,0.00,0.00,1.0000,34.48,224.40,24,14.22,8.71,-5.66
13:14:18.705,-5.47,21.57,8,0.64,3252,0.00,0.00,1.0000,35.22,226.53,25,14.40,8.71,-5.66
13:14:18.784,-4.69,21.96,8,0.65,3239,0.00,0.00,1.0000,35.46,227.21,25,14.54,8.71,-5.66
13:14:18.866,-3.91,22.35,8,0.65,3212,0.00,0.00,1.0000,35.70,227.01,25,14.50,8.85,-5.51
13:14:18.945,-3.12,22.35,8,0.65,3269,0.00,0.00,1.0000,35.70,226.69,25,14.50,8.85,-5.51
13:14:19.025,-3.12,22.35,8,0.65,3297,0.00,0.00,1.0000,35.83,226.55,25,14.48,8.85,-5.51
13:14:19.106,-3.12,22.35,8,0.65,3294,0.00,0.00,1.0000,35.74,226.17,25,14.32,8.85,-5.51
13:14:19.185,-3.91,22.35,8,0.65,3323,0.00,0.00,1.0000,35.74,226.09,25,14.22,8.71,-5.66
13:14:19.266,-3.91,22.35,8,0.64,3380,0.00,0.00,1.0000,35.49,225.79,25,14.21,8.71,-5.66
13:14:19.362,-4.69,22.35,8,0.64,3278,0.00,0.00,1.0000,35.37,226.82,25,14.20,8.71,-5.66
13:14:19.441,-3.91,22.35,8,0.64,3340,0.00,0.00,1.0000,35.86,227.66,25,14.26,8.71,-5.66
13:14:19.521,-3.12,22.75,8,0.65,3359,0.00,0.00,1.0000,36.96,227.71,25,14.40,8.71,-5.51
13:14:19.601,-2.34,22.75,8,0.65,3355,0.00,0.00,1.0000,36.47,227.84,25,14.46,8.85,-5.51
13:14:19.680,-2.34,22.75,8,0.65,3352,0.00,0.00,1.0000,35.98,227.07,26,14.57,8.85,-5.51
13:14:19.760,-2.34,22.75,8,0.65,3392,0.00,0.00,1.0000,36.10,227.45,26,14.35,8.85,-5.66
13:14:19.840,-2.34,22.75,8,0.64,3372,0.00,0.00,1.0000,36.50,226.74,26,14.26,8.71,-5.66
13:14:19.920,-3.12,22.75,8,0.64,3344,0.00,0.00,1.0000,36.50,228.04,26,14.19,8.71,-5.66
13:14:20.000,-2.34,22.75,8,0.65,3383,0.00,0.00,1.0000,36.87,228.14,26,14.21,8.71,-5.66
13:14:20.096,-2.34,23.14,8,0.65,3396,0.00,0.00,1.0000,36.74,229.00,26,14.32,8.71,-5.66
13:14:20.176,-1.56,23.53,8,0.65,3422,0.00,0.00,1.0000,37.48,231.47,26,14.41,8.71,-5.66
13:14:20.256,-0.78,24.31,8,0.66,3416,0.00,0.00,1.0000,38.82,236.13,26,14.38,8.85,-5.51
13:14:20.335,-0.78,24.71,8,0.68,3418,0.00,0.00,1.0000,40.24,238.41,26,14.39,9.14,-5.22
13:14:20.416,1.56,25.10,8,0.71,3452,0.00,0.00,1.0000,41.90,239.59,26,14.56,9.29,-5.08
13:14:20.496,3.12,25.10,8,0.72,3442,0.00,0.00,1.0000,42.04,239.65,26,14.77,9.43,-4.93
13:14:20.575,2.34,25.10,8,0.73,3513,0.00,0.00,1.0000,42.45,240.74,26,14.59,9.43,-4.93
13:14:20.656,0.78,25.10,8,0.73,3416,0.00,0.00,1.0000,42.36,240.67,27,14.16,9.58,-4.93
13:14:20.736,0.78,25.10,8,0.73,3500,0.00,0.00,1.0000,42.63,240.66,27,14.11,9.43,-4.93
13:14:20.832,0.00,25.10,8,0.73,3488,0.00,0.00,1.0000,42.36,240.41,27,14.15,9.43,-4.93
13:14:20.913,0.78,25.10,8,0.73,3568,0.00,0.00,1.0000,43.32,240.26,27,14.18,9.43,-4.93
13:14:20.992,0.78,25.10,8,0.73,3465,0.00,0.00,1.0000,43.05,240.02,27,14.19,9.43,-4.93
13:14:21.071,0.00,25.10,8,0.73,3552,0.00,0.00,1.0000,43.05,239.97,27,14.20,9.43,-4.93
13:14:21.152,0.00,25.10,8,0.73,3562,0.00,0.00,1.0000,43.32,240.01,27,14.25,9.43,-4.93
13:14:21.232,0.78,25.10,8,0.73,3568,0.00,0.00,1.0000,42.91,239.97,27,14.33,9.29,-5.08
13:14:21.311,1.56,25.10,8,0.73,3632,0.00,0.00,1.0000,43.46,239.73,27,14.27,9.29,-5.08
13:14:21.392,1.56,25.10,8,0.72,3646,0.00,0.00,1.0000,43.22,239.63,27,14.35,9.29,-5.08
13:14:21.488,1.56,25.10,8,0.72,3605,0.00,0.00,1.0000,43.08,239.51,27,14.32,9.29,-5.08
13:14:21.567,1.56,25.10,8,0.72,3611,0.00,0.00,1.0000,43.50,239.44,28,14.33,9.14,-5.08
13:14:21.647,2.34,25.10,8,0.72,3624,0.00,0.00,1.0000,43.36,239.40,28,14.37,9.29,-5.22
13:14:21.727,2.34,25.10,8,0.72,3697,0.00,0.00,1.0000,43.08,239.36,28,14.33,9.14,-5.08
13:14:21.807,2.34,25.10,8,0.72,3671,0.00,0.00,1.0000,43.91,239.39,28,14.27,9.14,-5.22
13:14:21.888,3.12,25.10,8,0.72,3678,0.00,0.00,1.0000,44.18,239.27,28,14.38,9.29,-5.22
13:14:21.968,3.91,25.10,8,0.72,3676,0.00,0.00,1.0000,44.19,239.27,28,14.39,9.14,-5.22
13:14:22.047,3.12,25.10,8,0.72,3687,0.00,0.00,1.0000,44.18,239.17,28,14.35,9.29,-5.22
13:14:22.127,3.91,25.10,8,0.71,3776,0.00,0.00,1.0000,44.45,239.16,28,14.28,9.14,-5.22
13:14:22.207,4.69,25.10,8,0.72,3720,0.00,0.00,1.0000,45.05,239.16,28,14.34,9.14,-5.22
13:14:22.304,5.47,25.10,8,0.72,3735,0.00,0.00,1.0000,45.05,239.11,28,14.43,9.14,-5.22
13:14:22.382,5.47,25.10,8,0.72,3758,0.00,0.00,1.0000,45.60,239.06,28,14.38,9.29,-5.22
13:14:22.463,6.25,25.10,8,0.72,3789,0.00,0.00,1.0000,46.02,239.02,28,14.41,9.29,-5.08
13:14:22.543,6.25,25.10,8,0.72,3816,0.00,0.00,1.0000,46.16,238.89,29,14.44,9.14,-5.22
13:14:22.624,5.47,25.10,8,0.72,3819,0.00,0.00,1.0000,46.44,238.86,29,14.21,9.14,-5.22
13:14:22.704,6.25,25.10,8,0.73,3883,0.00,0.00,1.0000,46.75,238.87,29,14.21,9.14,-5.22
13:14:22.782,5.47,25.10,8,0.73,3899,0.00,0.00,1.0000,46.31,238.83,29,14.32,9.14,-5.22
13:14:22.863,5.47,25.10,8,0.73,3795,0.00,0.00,1.0000,46.75,238.77,29,14.27,9.14,-5.22
13:14:22.958,5.47,25.10,8,0.72,3876,0.00,0.00,1.0000,46.95,238.69,29,14.33,9.14,-5.22
13:14:23.038,6.25,25.10,8,0.72,3868,0.00,0.00,1.0000,46.95,238.73,29,14.28,9.14,-5.22
13:14:23.120,6.25,25.10,8,0.72,3952,0.00,0.00,1.0000,47.10,238.65,29,14.34,9.14,-5.22
13:14:23.199,6.25,25.10,8,0.73,3862,0.00,0.00,1.0000,47.41,238.56,29,14.29,9.14,-5.22
13:14:23.279,6.25,25.10,8,0.73,3920,0.00,0.00,1.0000,47.86,239.99,29,14.35,9.14,-5.22
13:14:23.358,6.25,25.49,8,0.73,3921,0.00,0.00,1.0000,48.32,246.79,29,14.21,9.14,-5.08
13:14:23.438,7.03,27.45,8,0.76,3905,0.00,0.00,1.0000,53.82,250.63,30,14.35,9.29,-4.93
13:14:23.519,10.94,27.45,8,0.82,4029,0.00,0.00,1.0000,57.24,250.95,30,14.71,9.87,-4.35
13:14:23.598,12.50,27.45,8,0.86,4010,0.00,0.00,1.0000,58.06,250.91,30,15.03,10.16,-4.06
13:14:23.694,11.72,27.45,8,0.87,4004,0.00,0.00,1.0000,58.39,250.70,30,14.46,10.30,-3.92
13:14:23.773,10.16,27.45,8,0.87,3986,0.00,0.00,1.0000,58.98,250.12,30,14.00,10.30,-4.06
13:14:23.855,7.81,27.45,8,0.88,4049,0.00,0.00,1.0000,59.31,250.28,30,13.93,10.30,-4.06
13:14:23.935,6.25,27.45,8,0.87,4091,0.00,0.00,1.0000,59.79,249.58,31,13.95,10.16,-4.06
13:14:24.015,5.47,27.45,8,0.87,4153,0.00,0.00,1.0000,60.12,249.37,31,14.02,10.16,-4.21
13:14:24.095,4.69,27.45,8,0.87,4137,0.00,0.00,1.0000,59.79,249.44,31,14.25,10.16,-4.21
13:14:24.174,4.69,27.45,8,0.87,4154,0.00,0.00,1.0000,60.92,248.88,31,14.31,10.16,-4.21
13:14:24.254,5.47,27.45,8,0.87,4219,0.00,0.00,1.0000,60.76,249.01,31,14.35,10.16,-4.21
13:14:24.335,5.47,27.45,8,0.87,4195,0.00,0.00,1.0000,59.95,248.78,31,14.38,10.16,-4.21
13:14:24.430,5.47,27.45,8,0.88,4208,0.00,0.00,1.0000,60.76,248.43,32,14.45,10.16,-4.21
13:14:24.511,5.47,27.45,8,0.88,4281,0.00,0.00,1.0000,61.75,247.96,32,14.52,10.16,-4.21
13:14:24.591,6.25,27.45,8,0.88,4224,0.00,0.00,1.0000,62.61,248.07,32,14.50,10.16,-4.21
13:14:24.671,6.25,27.45,8,0.88,4242,0.00,0.00,1.0000,62.61,247.50,32,14.51,10.16,-4.21
13:14:24.750,6.25,27.45,8,0.88,4230,0.00,0.00,1.0000,63.31,247.62,32,14.45,10.16,-4.21
13:14:24.830,7.03,27.45,8,0.88,4238,0.00,0.00,1.0000,62.61,247.09,32,14.53,10.16,-4.21
13:14:24.911,7.03,27.45,8,0.88,4327,0.00,0.00,1.0000,63.66,246.92,32,14.47,10.01,-4.21
13:14:24.990,7.03,27.45,8,0.88,4321,0.00,0.00,1.0000,64.01,246.64,32,14.53,10.16,-4.21
13:14:25.086,7.03,27.45,8,0.88,4401,0.00,0.00,1.0000,64.18,246.42,32,14.41,10.16,-4.35
13:14:25.166,7.03,27.45,8,0.88,4356,0.00,0.00,1.0000,64.00,246.27,32,14.35,10.16,-4.35
13:14:25.245,7.03,27.45,8,0.88,4373,0.00,0.00,1.0000,64.85,245.93,32,14.34,10.16,-4.35
13:14:25.326,7.03,27.45,8,0.88,4383,0.00,0.00,1.0000,65.90,246.23,34,14.28,10.16,-4.35
13:14:25.406,7.03,27.45,8,0.88,4470,0.00,0.00,1.0000,64.67,245.24,34,14.34,10.01,-4.35
13:14:25.485,7.03,27.45,8,0.87,4421,0.00,0.00,1.0000,63.11,244.85,34,14.21,10.01,-4.35
13:14:25.565,6.25,27.45,8,0.87,4428,0.00,0.00,1.0000,63.63,244.66,34,14.24,9.87,-4.35
13:14:25.646,6.25,27.45,8,0.87,4450,0.00,0.00,1.0000,63.81,244.10,34,14.28,10.01,-4.50
13:14:25.725,6.25,27.45,8,0.85,4492,0.00,0.00,1.0000,62.92,244.57,34,14.25,9.87,-4.64
13:14:25.820,6.25,27.45,8,0.85,4490,0.00,0.00,1.0000,62.58,244.30,35,14.06,9.72,-4.64
13:14:25.902,6.25,27.45,8,0.85,4519,0.00,0.00,1.0000,64.67,243.90,35,14.43,9.72,-4.64
13:14:25.981,6.25,27.45,8,0.85,4519,0.00,0.00,1.0000,64.32,243.77,35,14.52,9.72,-4.64
13:14:26.062,6.25,27.45,8,0.84,4506,0.00,0.00,1.0000,63.27,243.30,35,14.46,9.72,-4.64
13:14:26.140,6.25,27.45,8,0.83,4596,0.00,0.00,1.0000,62.74,242.40,35,14.24,9.58,-4.79
13:14:26.222,6.25,27.45,8,0.83,4591,0.00,0.00,1.0000,62.91,243.01,35,14.34,9.43,-4.93
13:14:26.304,6.25,27.45,8,0.82,4561,0.00,0.00,1.0000,63.42,242.90,35,14.25,9.43,-4.93
13:14:26.382,6.25,27.45,8,0.82,4576,0.00,0.00,1.0000,62.74,242.44,35,14.51,9.43,-4.93
13:14:26.461,7.03,27.45,8,0.82,4567,0.00,0.00,1.0000,61.53,242.07,35,14.47,9.43,-5.08
13:14:26.557,7.03,27.45,8,0.81,4573,0.00,0.00,1.0000,61.35,241.88,35,14.38,9.29,-5.22
13:14:26.636,6.25,27.45,8,0.79,4615,0.00,0.00,1.0000,60.52,241.78,35,14.26,9.14,-5.22
13:14:26.717,6.25,27.45,8,0.79,4550,0.00,0.00,1.0000,60.20,241.63,35,14.26,9.14,-5.22
13:14:26.796,7.03,27.45,8,0.79,4592,0.00,0.00,1.0000,60.53,241.27,35,14.44,9.14,-5.22
13:14:26.877,7.03,27.45,8,0.79,4618,0.00,0.00,1.0000,60.85,241.19,35,14.46,9.00,-5.37
13:14:26.956,0.00,27.45,8,0.79,4642,0.00,0.00,1.0000,60.36,240.87,35,14.40,9.00,-5.37
13:14:27.037,0.00,27.45,10,0.77,4656,0.00,0.00,1.0000,60.03,239.99,35,14.33,8.85,-5.51
13:14:27.118,0.00,27.45,10,0.77,4636,0.00,0.00,1.0000,59.22,239.86,35,14.77,8.85,-5.51
13:14:27.197,0.00,27.45,10,0.76,4610,0.00,0.00,1.0000,58.89,240.28,36,14.81,8.71,-5.66
13:14:27.276,0.00,27.45,10,0.76,4616,0.00,0.00,1.0000,59.21,239.22,36,15.02,8.71,-5.66
13:14:27.372,0.00,27.45,10,0.75,4735,0.00,0.00,1.0000,58.40,239.91,36,15.10,8.71,-5.66
13:14:27.452,0.00,27.45,10,0.74,4637,0.00,0.00,1.0000,57.12,239.85,36,15.11,8.56,-5.80
13:14:27.532,0.00,27.45,10,0.73,4672,0.00,0.00,1.0000,57.76,238.91,36,14.94,8.56,-5.80
13:14:27.612,0.00,27.45,10,0.74,4709,0.00,0.00,1.0000,57.43,238.93,36,15.21,8.56,-5.80
13:14:27.693,0.00,27.45,10,0.73,4716,0.00,0.00,1.0000,58.08,238.66,37,15.28,8.42,-5.95
13:14:27.772,0.00,26.67,10,0.73,4695,0.00,0.00,1.0000,57.11,213.48,37,15.27,8.42,-5.95
13:14:27.853,0.00,14.90,10,0.66,4673,0.00,0.00,1.0000,37.57,8.00,37,15.14,7.98,-6.96
13:14:27.932,0.00,0.00,10,0.31,4708,0.00,0.00,1.0000,20.13,0.00,37,14.47,5.22,-9.87
13:14:28.028,0.00,0.00,10,0.44,4607,0.00,0.00,1.0000,14.12,0.00,37,13.18,3.48,-10.88
13:14:28.107,0.00,0.00,10,0.50,4447,0.00,0.00,1.0000,22.24,0.00,37,12.37,3.34,-10.88
13:14:28.189,0.00,0.00,10,0.46,4227,0.00,0.00,1.0000,43.44,0.00,37,11.94,3.63,-10.74
13:14:28.268,0.00,0.00,10,0.38,4135,0.00,0.00,1.0000,46.68,0.00,37,12.76,3.77,-10.59
13:14:28.348,0.00,0.00,10,0.35,4031,0.00,0.00,1.0000,13.05,0.00,37,13.44,3.77,-10.45
13:14:28.428,0.00,0.00,10,0.37,3797,0.00,0.00,1.0000,12.37,0.00,37,14.59,3.92,-10.45
13:14:28.508,0.00,0.00,10,0.37,3775,0.00,0.00,1.0000,14.94,15.87,37,15.07,3.92,-10.45
13:14:28.591,0.00,7.84,10,0.38,3676,0.00,0.00,1.0000,23.82,67.68,37,14.32,3.92,-10.45
13:14:28.668,0.00,10.98,10,0.32,3592,0.00,0.00,1.0000,33.55,164.73,37,13.76,3.77,-10.59
13:14:28.747,0.00,16.86,10,0.32,3382,0.00,0.00,1.0000,20.15,192.69,37,13.02,4.79,-9.14
13:14:28.843,0.00,17.25,10,0.48,3231,0.00,0.00,1.0000,23.31,208.70,37,11.88,6.53,-7.25
13:14:28.923,0.00,20.78,10,0.54,3267,0.00,0.00,1.0000,30.20,225.55,37,11.24,7.55,-6.67
13:14:29.005,0.00,22.75,10,0.58,3387,0.00,0.00,1.0000,34.77,230.12,37,14.07,7.98,-6.24
13:14:29.083,0.00,22.75,10,0.63,3212,0.00,0.00,1.0000,35.99,228.66,36,16.04,8.71,-5.51
13:14:29.164,0.00,22.75,10,0.65,3310,0.00,0.00,1.0000,36.59,228.57,36,16.43,8.85,-5.51
13:14:29.244,0.00,22.75,10,0.66,3290,0.00,0.00,1.0000,36.23,229.01,36,16.27,9.00,-5.37
13:14:29.323,0.00,22.75,10,0.66,3292,0.00,0.00,1.0000,36.84,228.45,36,15.81,9.00,-5.37
13:14:29.404,0.00,22.75,10,0.67,3312,0.00,0.00,1.0000,36.47,228.93,36,15.45,9.14,-5.22
13:14:29.483,0.00,22.75,10,0.66,3292,0.00,0.00,1.0000,36.35,227.45,36,15.26,9.00,-5.37
13:14:29.580,0.00,22.35,10,0.66,3321,0.00,0.00,1.0000,35.62,225.41,35,15.07,9.00,-5.37
13:14:29.660,1.56,21.96,10,0.65,3304,0.00,0.00,1.0000,35.75,224.71,35,14.79,9.00,-5.51
13:14:29.740,2.34,21.96,8,0.64,3325,0.00,0.00,1.0000,35.14,225.10,35,14.60,8.85,-5.51
13:14:29.820,2.34,21.96,8,0.63,3375,0.00,0.00,1.0000,35.02,223.42,35,14.53,8.71,-5.66
